Section,Section_Description,Attribute,Data_Type,Supported_Values,Description,Example,Requirement,Dependencies,Validation_Rules
OpenAI Flags,Use these flags to control whether a product is discoverable and/or purchasable inside ChatGPT. These fields do not affect how the product is displayed on your own site they simply enable or disable the ChatGPT integrations.,enable_search,Enum,"true, false",Controls whether the product can be surfaced in ChatGPT search results.,true,Required,—,Lower-case string
OpenAI Flags,,enable_checkout,Enum,"true, false","Allows direct purchase inside ChatGPT. enable_search must be true in order for enable_checkout to be enabled for the product.",true,Required,—,Lower-case string
Basic Product Data,Provide the core identifiers and descriptive text needed to uniquely reference each product. These fields establish the canonical record that ChatGPT Search uses to display and link to your product.,id,String (alphanumeric),—,Merchant product ID (unique),SKU12345,Required,—,Max 100 chars; must remain stable over time
Basic Product Data,,gtin,String (numeric),"GTIN, UPC, ISBN",Universal product identifier,123456789543,Recommended,—,8–14 digits; no dashes or spaces
Basic Product Data,,mpn,String (alphanumeric),—,Manufacturer part number,GPT5,Required if gtin missing,Required if gtin is absent,Max 70 chars
Basic Product Data,,title,String (UTF-8 text),—,Product title,Men's Trail Running Shoes Black,Required,—,Max 150 chars; avoid all-caps
Basic Product Data,,description,String (UTF-8 text),—,Full product description,Waterproof trail shoe with cushioned sole…,Required,—,Max 5000 chars; plain text only
Basic Product Data,,link,URL,RFC 1738,Product detail page URL,https://example.com/product/SKU12345,Required,—,Must resolve with HTTP 200; HTTPS preferred
Item Information,Capture the physical characteristics and classification details of the product. This data helps ensure accurate categorization filtering and search relevance.,condition,Enum,"new, refurbished, used",Condition of product,new,Required if product condition differs from new,—,Lower-case string
Item Information,,product_category,String,Category taxonomy,Category path,Apparel & Accessories > Shoes,Required,—,Use > separator
Item Information,,brand,String,—,Product brand,OpenAI,Required for all excluding movies books and musical recording brands,—,Max 70 chars
Item Information,,material,String,—,Primary material(s),Leather,Required,—,Max 100 chars
Item Information,,dimensions,String,LxWxH unit,Overall dimensions,12x8x5 in,Optional,—,Units required if provided
Item Information,,length,Number + unit,—,Individual dimension,10 mm,Optional,Provide all three if using individual fields,Units required
