Field Name,Table/Section,Data Type,Supported Values,Description,Example,Requirement,Dependencies,Validation Rules
enable_search,OpenAI Flags,Enum,"true, false",Controls whether the product can be surfaced in ChatGPT search results.,true,Required,—,Lower-case string
enable_checkout,OpenAI Flags,Enum,"true, false",Allows direct purchase inside ChatGPT. enable_search must be true in order for enable_checkout to be enabled for the product.,true,Required,—,Lower-case string
id,Basic Product Data,String (alphanumeric),—,Merchant product ID (unique),SKU12345,Required,—,Max 100 chars; must remain stable over time
gtin,Basic Product Data,String (numeric),"GTIN, UPC, ISBN",Universal product identifier,123456789543,Recommended,—,8–14 digits; no dashes or spaces
mpn,Basic Product Data,String (alphanumeric),—,Manufacturer part number,GPT5,Required if gtin missing,Required if gtin is absent,Max 70 chars
title,Basic Product Data,String (UTF-8 text),—,Product title,Men's Trail Running Shoes Black,Required,—,Max 150 chars; avoid all-caps
description,Basic Product Data,String (UTF-8 text),—,Full product description,Waterproof trail shoe with cushioned sole…,Required,—,Max 5,000 chars; plain text only
link,Basic Product Data,URL,RFC 1738,Product detail page URL,https://example.com/product/SKU12345,Required,—,Must resolve with HTTP 200; HTTPS preferred
condition,Item Information,Enum,"new, refurbished, used",Condition of product,new,Required if product condition differs from new,—,Lower-case string
product_category,Item Information,String,Category taxonomy,Category path,Apparel & Accessories > Shoes,Required,—,Use ">" separator
brand,Item Information,String,—,Product brand,OpenAI,Required for all excluding movies/books/musical recording brands,—,Max 70 chars
material,Item Information,String,—,Primary material(s),Leather,Required,—,Max 100 chars
dimensions,Item Information,String,LxWxH unit,Overall dimensions,12x8x5 in,Optional,—,Units required if provided
length,Item Information,Number + unit,—,Individual dimension,10 mm,Optional,—,Positive number with unit
width,Item Information,Number + unit,—,Individual dimension,5 cm,Optional,—,Positive number with unit
height,Item Information,Number + unit,—,Individual dimension,3 ft,Optional,—,Positive number with unit
weight,Item Information,Number + unit,—,Product weight,1.5 lb,Required,—,Positive number with unit
color,Item Information,String,—,Product color,Blue,Recommended (apparel),—,Plain text descriptor
size,Item Information,String,—,Apparel/shoe size,Medium,Recommended (apparel),—,Plain text or standard sizing
age_group,Item Information,Enum,"adult, kids, toddler, infant, newborn",Age group target,adult,Recommended (apparel),—,Lower-case string
gender,Item Information,Enum,"male, female, unisex",Gender target,male,Recommended (apparel),—,Lower-case string
offer_id,Item Information,String,—,Offer ID (SKU+seller+price),SKU12345-Blue-79.99,Recommended,—,Unique within feed
Custom_variant1_category,Item Information,String,—,Custom variant dimension 1,Size_Type,Optional,—,—
Custom_variant1_option,Item Information,String,—,Custom variant 1 option,Petite / Tall / Maternity,Optional,—,—
Custom_variant2_category,Item Information,String,—,Custom variant dimension 2,Wood_Type,Optional,—,—
Custom_variant2_option,Item Information,String,—,Custom variant 2 option,Oak / Mahogany / Walnut,Optional,—,—
Custom_variant3_category,Item Information,String,—,Custom variant dimension 3,Cap_Type,Optional,—,—
Custom_variant3_option,Item Information,String,—,Custom variant 3 option,Snapback / Fitted,Optional,—,—
image_link,Media,URL,RFC 1738,Main product image URL,https://example.com/image1.jpg,Required,—,JPEG/PNG; HTTPS preferred
additional_image_link,Media,URL,RFC 1738,Extra product images,https://example.com/image2.jpg,Optional,—,Comma-separated URLs or array
video_link,Media,URL,RFC 1738,Product video URL,https://youtu.be/12345,Optional,—,Must be publicly accessible
model_3d_link,Media,URL,RFC 1738,3D model file,https://example.com/model.glb,Optional,—,GLB/GLTF preferred
price,Pricing,Number + currency,ISO 4217,Regular price with currency,79.99 USD,Required,—,Must include ISO 4217 currency code
availability,Pricing,Enum,"in_stock, out_of_stock, preorder, backorder, discontinued",Product availability status,in_stock,Required,—,Lower-case string
sale_price,Pricing,Number + currency,ISO 4217,Discounted price with currency,59.99 USD,Optional,—,Must be ≤ price
sale_price_effective_date,Pricing,String,ISO 8601 date range,Sale window date range,2025-07-01 / 2025-07-15,Optional,—,Start must precede end
shipping,Fulfillment,String,country:region:service_class:price,Shipping method/cost/region,US:CA:Overnight:16.00 USD,Required where applicable,—,Multiple entries allowed; use colon separators
delivery_estimate,Fulfillment,Date,ISO 8601,Estimated arrival date,2025-08-12,Optional,—,Must be future date
seller_name,Merchant Info,String,—,Seller name,Example Store,Required / Display,—,Max 70 chars
seller_url,Merchant Info,URL,RFC 1738,Seller page,https://example.com/store,Required,—,HTTPS preferred
seller_privacy_policy,Merchant Info,URL,RFC 1738,Seller-specific policies,https://example.com/privacy,Required if enabled_checkout is true,—,HTTPS preferred
seller_tos,Merchant Info,URL,RFC 1738,Seller-specific terms of service,https://example.com/terms,Required if enabled_checkout is true,—,HTTPS preferred
return_policy,Returns,URL,RFC 1738,Return policy URL,https://example.com/returns,Required,—,HTTPS preferred
return_window,Returns,Integer,Days,Days allowed for return,30,Required,—,Positive integer
popularity_score,Performance Signals,Number,—,Popularity indicator,4.7,Recommended,—,0–5 scale or merchant-defined
return_rate,Performance Signals,Number,Percentage,Return rate,2%,Recommended,—,0–100%
warning,Compliance,String,—,Product disclaimers,Contains lithium battery,Recommended for Checkout,—,If URL must resolve HTTP 200
warning_url,Compliance,URL,—,Product disclaimers URL,https://example.com/warnings/ca-prop-65,Recommended for Checkout,—,If URL must resolve HTTP 200
age_restriction,Compliance,Number,—,Minimum purchase age,21,Recommended,—,Positive integer
product_review_count,Reviews and Q&A,Integer,—,Number of product reviews,254,Recommended,—,Non-negative
product_review_rating,Reviews and Q&A,Number,—,Average review score,4.6,Recommended,—,0–5 scale
store_review_count,Reviews and Q&A,Integer,—,Number of brand/store reviews,2000,Optional,—,Non-negative
store_review_rating,Reviews and Q&A,Number,—,Average store rating,4.8,Optional,—,0–5 scale
q_and_a,Reviews and Q&A,String,—,FAQ content,Q: Is this waterproof? A: Yes,Recommended,—,Plain text
raw_review_data,Reviews and Q&A,String,—,Raw review payload,—,Recommended,—,May include JSON blob
related_product_id,Related Products,String,—,Associated product IDs,SKU67890,Recommended,—,Comma-separated list allowed
relationship_type,Related Products,Enum,"part_of_set, required_part, often_bought_with, substitute, different_brand, accessory",Relationship type,part_of_set,Recommended,—,Lower-case string
geo_price,Geo Tagging,Number + currency,Region-specific price,Price by region,79.99 USD (California),Recommended,—,Must include ISO 4217 currency
geo_availability,Geo Tagging,String,Region-specific availability,Availability per region,in_stock (Texas) out_of_stock (New York),Recommended,—,Regions must be valid ISO 3166 codes
,,,,,,,,
"NOTE:",INCOMPLETE SECTIONS,,,"Due to content truncation (8081 chars omitted from source), the following sections may be incomplete:",,,,
,"Item Information",,,Possible missing fields between 'length' (line 18) and 'gender' (line 23) - may include additional dimension/size/variant fields,,,,
,"Media",,,May be missing additional media-related fields,,,,
,"Pricing",,,May be missing fields like installment pricing or loyalty points,,,,
,"Item Information",,,May be missing fields like: pattern/product_detail/product_highlight/item_group_id/identifier_exists/multipack/bundle/adult/expiration_date,,,,
,,,,,,,,
"ACTION REQUIRED:",Verify completeness,,,Please review the complete specification at https://developers.openai.com/commerce/specs/feed to confirm all fields are captured,,,,
